"Task Aware Debugger for GDB" version 11.7.0 (202212092054)
(c) 2016-2022 NXP Semiconductors, Inc.
==================================
17:52:50.576 INFO: [TadModel] DSF session ID 30 has started.
17:52:53.310 INFO: [TadState] TAD state changed: DEBUG_STARTED -> DEBUG_INIT_0 (RESUMED, USER_REQUEST)
17:52:53.882 INFO: [TadState] TAD state changed: DEBUG_INIT_0 -> DEBUG_INIT_1 (SUSPENDED, BREAKPOINT)
17:52:56.574 INFO: [TadState] TAD state changed: DEBUG_INIT_1 -> DEBUG_SUSPENDED (RESUMED, USER_REQUEST)
17:52:56.575 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_SUSPENDED (SUSPENDED, BREAKPOINT)
17:52:57.214 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_RESUMED (RESUMED, USER_REQUEST)
17:52:57.218 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
17:52:58.112 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, USER_REQUEST)
17:52:58.115 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
17:53:02.434 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
17:53:02.439 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
17:53:03.103 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
17:53:03.105 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
17:53:03.290 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
17:53:03.293 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
17:53:03.459 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
17:53:03.464 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
17:53:03.644 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
